Entity,Code,Year,Floating-Point Operations per Second (GFLOPS)
World,OWID_WRL,1993,124
World,OWID_WRL,1994,170
World,OWID_WRL,1995,170
World,OWID_WRL,1996,368
World,OWID_WRL,1997,1300
World,OWID_WRL,1998,1300
World,OWID_WRL,1999,2400
World,OWID_WRL,2000,4900
World,OWID_WRL,2001,7200
World,OWID_WRL,2002,35900
World,OWID_WRL,2003,35900
World,OWID_WRL,2004,70700
World,OWID_WRL,2005,280600
World,OWID_WRL,2006,280600
World,OWID_WRL,2007,478200
World,OWID_WRL,2008,1100000
World,OWID_WRL,2009,1800000
World,OWID_WRL,2010,2600000
World,OWID_WRL,2011,10500000
World,OWID_WRL,2012,17600000
World,OWID_WRL,2013,33900000
World,OWID_WRL,2014,33900000
World,OWID_WRL,2015,33900000
World,OWID_WRL,2016,93000000
World,OWID_WRL,2017,93000000
World,OWID_WRL,2018,143500000
World,OWID_WRL,2019,148600000
World,OWID_WRL,2020,442000000
World,OWID_WRL,2021,442000000
World,OWID_WRL,2022,1100000000
World,OWID_WRL,2023,1200000000